,Object,Accuracy,Frame No,Yolo_Time,FPS
135,person,0.6920734643936157,2,0.0,1
136,cell phone,0.6722406148910522,3,0.0,16
137,cell phone,0.855396568775177,3,0.0,16
138,person,0.5580452680587769,3,0.0,16
139,person,0.6807228922843933,3,0.0,16
140,person,0.6920734643936157,3,0.0,16
141,cell phone,0.6722406148910522,4,0.0,16
142,cell phone,0.855396568775177,4,0.0,16
143,person,0.5580452680587769,4,0.0,16
144,person,0.6807228922843933,4,0.0,16
145,person,0.6920734643936157,4,0.0,16
146,cell phone,0.6722406148910522,5,0.0,12
147,cell phone,0.855396568775177,5,0.0,12
148,person,0.5580452680587769,5,0.0,12
149,person,0.6807228922843933,5,0.0,12
150,person,0.6920734643936157,5,0.0,12
151,cell phone,0.6722406148910522,0,0.0,15
152,cell phone,0.855396568775177,0,0.0,15
153,person,0.5580452680587769,0,0.0,15
154,person,0.6807228922843933,0,0.0,15
155,person,0.6920734643936157,0,0.0,15
156,cell phone,0.9734318256378174,1,0.7250595092773438,15
157,person,0.7658163905143738,1,0.7250595092773438,15
158,person,0.6359427571296692,1,0.7250595092773438,15
159,person,0.9556770920753479,1,0.7250595092773438,15
160,person,0.8875818848609924,1,0.7250595092773438,15
161,person,0.5950194597244263,1,0.7250595092773438,15
162,cell phone,0.9567780494689941,1,0.7250595092773438,15
163,cell phone,0.5454586148262024,1,0.7250595092773438,15
164,cell phone,0.9734318256378174,2,0.0,1
165,person,0.7658163905143738,2,0.0,1
166,person,0.6359427571296692,2,0.0,1
167,person,0.9556770920753479,2,0.0,1
168,person,0.8875818848609924,2,0.0,1
169,person,0.5950194597244263,2,0.0,1
170,cell phone,0.9567780494689941,2,0.0,1
171,cell phone,0.5454586148262024,2,0.0,1
172,cell phone,0.9734318256378174,3,0.0,12
173,person,0.7658163905143738,3,0.0,12
174,person,0.6359427571296692,3,0.0,12
175,person,0.9556770920753479,3,0.0,12
176,person,0.8875818848609924,3,0.0,12
177,person,0.5950194597244263,3,0.0,12
178,cell phone,0.9567780494689941,3,0.0,12
179,cell phone,0.5454586148262024,3,0.0,12
180,cell phone,0.9734318256378174,4,0.0,10
181,person,0.7658163905143738,4,0.0,10
182,person,0.6359427571296692,4,0.0,10
